Makespan,Energy,Reliability
1515.4163088163054,939153.1558052463,-133.50601730519483
1414.9568932318898,846949.0785403544,-162.93986898268398
1394.9568932318898,828518.6043381537,-162.97652700577203
1439.2298008797975,869089.068849402,-153.28162061327558
1446.6235598985566,875759.5172625405,-148.24750886363634
1381.9251472001442,816430.2549959753,-167.99636277417022
1394.9568932318898,828488.6172525983,-163.06627006132757
1423.438855713852,854928.9123309674,-157.89881784271284
1381.9251472001442,816424.9706250228,-172.965644083694
1371.026157301154,806362.7963825117,-177.84010275613272
1515.4163088163054,939200.6615516569,-143.4059557972583
1647.2940144440115,1060439.227245286,-138.49171871572878
1570.8272034772003,990300.3096343193,-138.59236455988463
1668.3051977051946,1080092.4622914945,-133.6772163528139
1478.6461067961036,905033.0788237853,-148.35115083694077
1510.4238845738812,934467.5813251487,-148.32630017316015
1461.2564964064932,889335.0791132115,-153.33104458152957
1478.508300158297,905025.71279069,-153.10987827922077
1462.814757589754,890790.6574395569,-153.18013913780666
1413.12987302987,845176.0691408236,-168.05207840909088
1400.724569999567,833430.6191008524,-168.09719612914859
1414.9568932318898,846948.3187760686,-168.00849398268394
1433.2958181958152,863583.5561833887,-158.3975239646464
1446.6235598985566,875658.8222443804,-158.1456687337662
1394.0822539822507,827504.0841851345,-182.945066554834
1597.892138542136,1014920.74509976,-143.48056472582968
1419.6735238235206,851074.293959402,-188.0398911652236
1486.4096349346314,912145.6058490954,-148.44156484487732
1570.1423189173156,989600.650263006,-148.19796595598845
1449.690118340115,878740.228303659,-158.33604751803747
