Makespan,Energy,Reliability
729.7045483545453,212104.4383833669,-40.70938717532468
726.78373305873,209412.76549087418,-45.66510611471863
721.9027806777776,204917.0044132767,-70.65259989177494
724.1147215147184,206963.03270433375,-60.64764839466088
729.7045483545453,212098.18158939868,-40.75109173881675
726.78373305873,209412.62504704302,-45.66587278138529
724.1147215147184,206948.38271921832,-70.64910955988456
733.7377373877343,215834.8658919672,-40.74707456709956
735.2532496532466,217242.24387786188,-40.735023773448795
721.9027806777776,204918.48063692029,-70.65588510101014
724.5389639389608,207358.55493003718,-60.667145959596
724.5389639389608,207346.38815087415,-65.60930598845601
725.2361140111109,208017.3543828366,-60.65326024531024
731.0694473444443,213334.88661683007,-45.67190921717171
729.9980187730157,212378.2769304124,-50.69931019119771
726.78373305873,209416.99787526092,-55.650041089466086
778.2294401294373,256854.85693829862,-45.665919408369426
722.3979105479075,205377.383301206,-70.65966605339108
725.2361140111109,208000.8372199001,-60.67682830086581
725.1955295955265,207941.2440055783,-65.64352979797981
732.0010851510821,214232.08783223777,-45.70846112914864
726.78373305873,209417.54805240376,-55.69058811327564
724.5389639389608,207350.5657173821,-80.66542786796536
724.5389639389608,207345.86631284383,-90.65351919191916
744.9047648047617,226092.80822452853,-45.71510202020204
732.2581197831167,214463.77066253722,-50.60258697691199
727.5162366662336,210106.30081477025,-60.605431908369425
731.9027806777776,214133.26421871324,-55.714789574314594
725.1955295955265,207955.04495053503,-65.69886307720058
725.2361140111109,208004.71085885033,-60.72954377705629
